6,5,22,5056.52,5086,5045,389.31,0.5189950618741221
6,5,21,5055.2,5073.6,5045.2,369.4,0.026104910096279355
6,5,20,5064.8,5130.9,5039.6,1864.82,-0.18990346573826855
6,5,19,5068.1,5078.2,5058.9,202.4,-0.0651555836360842
6,5,18,5074.8,5117,5057,568.18,-0.13219944357845748
6,5,17,5051.65,5100.7,5047,1007.69,0.4561756128320411
6,5,16,5028.9,5068.4,5014.8,212.51,0.4503479061296787
6,5,15,5023.4,5033.4,5004.5,235.66,0.10936785380501135
6,5,14,5049.05,5063,5007.2,463.49,-0.5106103435920062
6,5,13,5073.5,5132.5,5032,1097.81,-0.4842495122844923
6,5,12,5051.4,5087.94,5023.7,529.07,0.43559672809698213
6,5,11,5006.98,5077,5004.6,806.51,0.8793601773765829
6,5,10,5000.2,5017.3,4988.5,132.02,0.13541096629104743
6,5,9,5014.8,5014.8,4996,147.11,-0.2919883204671976
6,5,8,4986.91,5026.1,4986.9,298.71,0.5561537847970044
6,5,7,4985.93,5005.2,4980.4,286.69,0.01965144748952241
6,5,6,5027.85,5027.9,4984.1,216.35,-0.8407659152856155
6,5,5,4990.95,5068.8,4990.9,990.71,0.73391210954982
6,5,4,4940.34,5014,4940.1,450.98,1.0140354040813833
6,5,3,4965,4965,4932.7,64.21,-0.49915592853932367
6,5,2,4954.2,4972.8,4929.5,366.54,0.21752265861027809
6,5,1,4968.15,4974,4941.6,124.47,-0.2815792660772587
6,5,0,4938.9,4991.9,4938.9,322.76,0.5887503396636617
5,4,23,4907.1,4954.3,4906.6,240.54,0.643868067788361
5,4,22,4971.39,4981.5,4902.51,685.35,-1.3101424466589293
5,4,21,4894.8,4985,4887.2,1131.94,1.5406154013263915
5,4,20,4869.4,4911.29,4834,838.32,0.5189180354662142
5,4,19,4903.9,4921.9,4867,554.24,-0.7085061814597253
5,4,18,4933.1,4935.78,4865.4,1364.72,-0.5954444421786889
5,4,17,4965,5006.7,4925,719.3,-0.6466522065232709
5,4,16,5030,5030,4952.6,671.45,-1.3091641490432977
5,4,15,5037.74,5039.7,4981,347.57,-0.1538767395626195
5,4,14,5046,5070,5031,329.9,-0.16396241171636916
5,4,13,5049,5050,5019.9,190.27,-0.059453032104642034
5,4,12,5026.3,5051,5020.13,406.72,0.4495939790057406
5,4,11,4989,5031.7,4958.2,712.55,0.7420965720311159
5,4,10,5042.1,5042.1,4985,502.99,-1.0643415514131078
5,4,9,5049.9,5052.6,5009.9,809.91,-0.15469744749209724
5,4,8,5070.8,5083.5,5008.5,1205.58,-0.41386958157588083
5,4,7,5074.82,5077.9,5050,295.6,-0.07927743156896838
5,4,6,5061.3,5100,5057,521.55,0.26641339003155906
5,4,5,5041.1,5070,5041.1,497.47,0.39910694880761355
5,4,4,4982.5,5041.9,4968.4,506.41,1.162444704528781
5,4,3,5022.6,5026.8,4968,347.41,-0.8048168590065359
5,4,2,4990.8,5030,4990.8,279.99,0.633138215266996
5,4,1,5037.1,5066.6,4977.6,873.53,-0.9277069808447607
5,4,0,4978,5038,4916.04,1349.93,1.1732941573524585
4,3,23,5070.7,5075.1,4842.2,6332.54,-1.8621936520690952
4,3,22,5181.2,5259.8,5010.1,6110.47,-2.179186305638268
4,3,21,5290,5335.5,5151.5,3274.94,-2.09989963714969
4,3,20,5145,5312.2,5145,3962.44,2.7410207939508524
4,3,19,5143.6,5178.7,5125.2,722.5,0.02721088435373531
4,3,18,5134.8,5193,5120,1317.23,0.17108639863131714
4,3,17,5150,5199.7,5080,2073.39,-0.296019319155576
4,3,16,5037.1,5192.9,5037.1,4036.96,2.1922330097087297
4,3,15,5035.7,5057.4,5022.1,1108.51,0.02779377022493179
4,3,14,5080,5083,5030,611.64,-0.8797188077129334
4,3,13,5041.8,5085,5036.7,830.71,0.7519685039370074
4,3,12,5008.8,5066.2,5008.1,736.77,0.6545281447102269
4,3,11,4990.5,5031.8,4990.5,337.9,0.3653569717297529
4,3,10,5017,5028.3,4980,400.2,-0.5310089169421985
4,3,9,4995.44,5018.68,4971.1,360.59,0.42973888778155356
4,3,8,4998.12,5009,4965,578.3,-0.05364892782218078
4,3,7,5009.4,5031.9,4984,557.74,-0.22568485750642253
4,3,6,4975.6,5012.2,4962.56,383.27,0.6747315047710174
4,3,5,4951.7,5002,4951.7,609.97,0.4803440791060467
4,3,4,5073.68,5073.69,4909,1681.51,-2.4633964093139866
4,3,3,5086,5090.1,4973.32,1918.72,-0.24282177827532792
4,3,2,4995.31,5086,4990,2552.5,1.783130161226893
4,3,1,5001,5010.9,4949.2,1444.67,-0.1139068446202458
4,3,0,4922.1,5025,4922.1,2293.92,1.5776844631073743
3,2,23,4863.5,4974,4850,1658.47,1.1905487495174896
3,2,22,4835,4863.6,4835,249.83,0.5859977382543349
3,2,21,4843.3,4863.6,4826,456.0,-0.17166494312306213
3,2,20,4823.6,4870.8,4805.1,1603.34,0.4067474655709873
3,2,19,4800.3,4830,4787.3,871.69,0.4830417115847041
3,2,18,4782.7,4802.3,4781.9,1016.27,0.36664375143220695
3,2,17,4805.2,4807.5,4745,1746.15,-0.4704455642210519
3,2,16,4829.9,4832.5,4784.3,2106.35,-0.5140264713227225
3,2,15,4826,4829.9,4787.3,698.07,0.08074701339570822
3,2,14,4876,4876.1,4754.3,2335.41,-1.0360547036883503
3,2,13,4887.9,4890,4855,795.3,-0.24405250205086304
3,2,12,4850,4907.1,4850,1126.16,0.7753841117862379
3,2,11,4856.7,4880.1,4839.9,928.46,-0.13814432989688896
3,2,10,4873.5,4879.89,4830.5,970.19,-0.3459138921489995
3,2,9,4764,4909,4763.8,4084.45,2.2468451831332743
3,2,8,4747,4779,4744.9,957.67,0.3568429890848108
3,2,7,4777.5,4787.1,4728.2,1880.51,-0.642511059616595
3,2,6,4800.3,4820,4723.1,3847.65,-0.47723704866562855
3,2,5,4687.8,5106.91,4687.3,16204.55,2.3436035247797093
3,2,4,4234.5,4800,4228.3,8897.31,9.669781134007422
3,2,3,4233.8,4234.7,4224.8,278.78,0.016530877317265436
3,2,2,4212.1,4239.5,4212.1,578.35,0.5125419245122487
3,2,1,4209.1,4215,4199.3,296.98,0.07122338026162822
3,2,0,4196.8,4221.5,4187.4,539.86,0.29222399087691997
2,1,23,4200.3,4202.5,4194.4,102.11,-0.08339687380860994
2,1,22,4198.4,4205.5,4197.3,170.33,0.04523486417637912
2,1,21,4190.4,4198.4,4186.8,144.18,0.1905487804878021
2,1,20,4190.3,4190.5,4187.2,291.38,0.00238640702556836
2,1,19,4197.94,4198.8,4190,144.81,-0.18232584779131855
2,1,18,4198.96,4202.2,4197.5,200.54,-0.02429763169556054
2,1,17,4206.8,4206.8,4195.1,159.39,-0.18671290033722698
